단어,빈도수
개발,899
회사,563
오후,513
경험,488
지원,392
업무,365
서비스,352
경력,321
개발자,319
초대,303
근무,284
디자인,281
유부,263
배진호,263
가능,250
위치,245
이상,242
프로젝트,233
사항,218
구인,214
우대,211
협의,210
채용,200
페이,182
기획,173
오전,171
디자이너,163
사용,160
내용,158
기간,153
기술,152
대한,151
서버,141
현재,132
업종,132
작업,131
기반,129
연봉,129
문의,126
관리,115
운영,115
모집,111
저희,109
연차,109
포트폴리오,109
관련,108
관심,105
스타트업,104
요건,102
필요,101
소개,101
진행,101
제공,100
연락,98
이해,97
분야,97
형태,93
개인,91
기업,90
여부,87
백엔드,86
자격,86
모바일,85
조건,85
마케팅,82
플랫폼,82
이용,80
안드로이드,78
프론트엔드,78
이력서,76
근무시간,76
무관,74
능력,73
급여,72
참고,72
면접,70
복지,69
방법,69
개월,68
사업,68
교육,67
제작,67
정규직,66
게임,66
자택,65
투자,64
시장,64
스킬,63
미팅,63
기능,63
서울,61
사람,61
필수,61
솔루션,61
활용,61
설계,60
시간,60
아래,59
협업,59
페이지,59
메일,58
프론트,57
보유,57
제출,57
제품,56
공유,56
서울시,56
예정,56
데이터,56
보험,55
정보,54
서류,53
신입,52
블록,52
공고,52
업체,52
신분,51
스톡옵션,51
포지션,51
신규,51
퍼블리싱,51
재택,50
체인,50
담당,50
카톡,49
시스템,47
홈페이지,47
이메일,47
분석,47
주시,46
상세,46
연락처,45
고객,45
환경,45
오픈,45
통해,45
구축,45
보수,45
중고차,45
위해,44
외주,44
언어,44
지급,44
유지,44
카카오,42
기본,42
사용자,42
휴가,41
구현,40
추가,40
금요일,40
링크,38
주식회사,38
강남,38
영어,37
콘텐츠,37
야근,37
완료,36
반응,36
목요일,35
월요일,35
열정,35
계약,35
연동,35
기존,35
선정,35
커뮤니케이션,34
지식,34
자기,34
역량,34
우리,34
확인,33
넷마블,33
문화,33
프리랜서,33
경우,33
프리,33
희망,33
직원,33
파일,32
수요일,32
작성,32
강남구,32
협상,32
기타,32
화폐,32
포함,32
시작,32
학력,31
사이트,31
주요,31
이름,31
화요일,30
프로,30
개별,30
장소,30
직무,30
구합,30
사무실,30
준비,30
결정,30
인원,30
한국,29
컨텐츠,29
국내,29
이해도,29
온라인,29
자바,29
변화,29
상주,29
클라이언트,29
화면,29
디지털,28
자율,28
타워,28
혜택,28
글로벌,28
수준,28
소프트웨어,28
퇴근,28
실력,28
수정,27
선호,27
참여,27
테크,27
영상,27
프로그램,27
유치,27
사이드,26
출근,26
가지,26
부문,26
모두,26
요청,26
다른,26
빌딩,26
정도,26
대화,25
규모,25
인력,25
입사,25
자사,25
장비,25
수습,25
참조,25
세부,25
주소,25
요구,25
간식,24
중국,24
일정,24
인재,24
중이,24
개선,24
토요일,24
브랜드,24
목표,23
